time,open,high,low,close,volume,hold
2015/3/2,2462,2483,2426,2472,2769934,1673788
2015/3/3,2466,2482,2452,2468,1199714,1592766
2015/3/4,2464,2470,2454,2464,693690,1584954
2015/3/5,2466,2467,2428,2447,1213754,1519172
2015/3/6,2445,2448,2416,2418,585192,1495696
2015/3/9,2417,2431,2385,2400,1240642,1491716
2015/3/10,2400,2404,2352,2353,887642,1527800
2015/3/11,2354,2375,2350,2369,568076,1417234
2015/3/12,2474,2507,2464,2496,2646136,1572834
2015/3/13,2505,2516,2485,2493,2484292,1594010
2015/3/16,2491,2524,2480,2520,2887758,1765824
2015/3/17,2520,2524,2505,2512,2039234,1737060
2015/3/18,2511,2522,2473,2483,4334196,1725474
2015/3/19,2480,2502,2474,2482,2041408,1706378
2015/3/20,2482,2498,2477,2481,1774980,1725054
2015/3/23,2483,2549,2471,2548,4785718,1922120
2015/3/24,2550,2574,2538,2542,4221476,2103290
2015/3/25,2538,2547,2505,2507,3109514,2088390
2015/3/26,2502,2514,2488,2491,2949506,2092662
2015/3/27,2495,2495,2407,2477,6043130,2110134
2015/3/30,2472,2498,2450,2451,4261190,2159268
2015/3/31,2471,2477,2414,2431,5247554,2429446
2015/4/1,2423,2428,2381,2390,5869210,2739722
2015/4/2,2377,2399,2339,2342,7905188,3041786
2015/4/3,2343,2374,2336,2341,6098706,3145268
2015/4/7,2330,2343,2309,2311,4374424,3624170
2015/4/8,2306,2335,2284,2324,7162492,3625926
2015/4/9,2323,2326,2287,2290,4823818,3685426
2015/4/10,2291,2298,2266,2266,4749620,3800820
2015/4/13,2263,2334,2262,2329,8377910,3799408
2015/4/14,2335,2341,2302,2324,7287328,3703712
2015/4/15,2327,2331,2294,2297,4532636,3771342
2015/4/16,2296,2329,2291,2318,5042842,3630552
2015/4/17,2317,2335,2309,2311,4649630,3584152
2015/4/20,2305,2314,2278,2279,6266020,3845800
2015/4/21,2277,2291,2270,2281,4252402,3929950
2015/4/22,2282,2334,2282,2327,6974766,3866734
2015/4/23,2328,2332,2306,2323,5507632,3594430
2015/4/24,2325,2388,2324,2378,9322642,3359744
2015/4/27,2384,2413,2366,2408,8738302,3280756
2015/4/28,2417,2430,2384,2398,5879950,3175130
2015/4/29,2398,2412,2331,2340,7285772,3156726
2015/4/30,2346,2377,2341,2365,5412820,3017818
2015/5/4,2383,2421,2371,2413,4834698,3016110
2015/5/5,2414,2442,2399,2428,7536936,2980574
2015/5/6,2430,2447,2418,2430,6223092,2851946
2015/5/7,2433,2437,2401,2407,4835314,2842652
2015/5/8,2410,2420,2386,2412,5401672,2752800
2015/5/11,2417,2434,2407,2421,4298216,2782154
2015/5/12,2420,2427,2389,2391,3813042,2816192
2015/5/13,2395,2407,2376,2383,3721250,2808210
2015/5/14,2384,2390,2342,2363,5247184,2881492
2015/5/15,2360,2373,2351,2372,2802208,2881486
2015/5/18,2372,2374,2348,2349,2535766,2959456
2015/5/19,2342,2355,2338,2342,2609006,2918988
2015/5/20,2337,2342,2302,2314,3605960,2825762
2015/5/21,2314,2353,2313,2344,3321110,2808738
2015/5/22,2346,2359,2326,2351,3699272,2742096
2015/5/25,2348,2350,2327,2347,3046606,2779526
2015/5/26,2348,2378,2346,2351,4809814,2723568
2015/5/27,2350,2364,2342,2355,2552564,2719244
2015/5/28,2355,2373,2342,2355,3100416,2634738
2015/5/29,2355,2365,2335,2359,3197716,2516918
2015/6/1,2356,2386,2347,2372,4129768,2506374
2015/6/2,2375,2379,2363,2375,2592372,2453376
2015/6/3,2378,2379,2348,2349,2404222,2451870
